
Score: 0			 Date: 2014-04-12 19:05:14.907420
Score: 0			 Date: 2014-04-12 19:06:41.842278
Score: 0			 Date: 2014-04-12 19:08:08.601849
Score: 0			 Date: 2014-04-12 19:12:18.405755
Score: 0			 Date: 2014-04-12 19:12:52.955596
Score: 0			 Date: 2014-04-12 19:13:31.651117
Score: 0			 Date: 2014-04-12 19:15:33.307688
Score: 0			 Date: 2014-04-12 19:17:16.578534
Score: 0			 Date: 2014-04-12 19:20:32.452071
Score: 0			 Date: 2014-04-12 19:23:23.184255
Score: 0			 Date: 2014-04-12 19:27:24.909211
Score: 0			 Date: 2014-04-12 19:27:56.714141
Score: 0			 Date: 2014-04-12 19:30:13.049595
Score: 0			 Date: 2014-04-12 19:30:34.048941
Score: 0			 Date: 2014-04-12 19:31:53.519444
Score: 0			 Date: 2014-04-12 19:33:50.722789
Score: 0			 Date: 2014-04-12 19:36:15.719095
Score: 0			 Date: 2014-04-12 19:48:11.648769
Score: 0			 Date: 2014-04-12 19:48:34.070264
Score: 0			 Date: 2014-04-12 19:50:35.839290
Score: 0			 Date: 2014-04-12 19:51:09.412343
Score: 0			 Date: 2014-04-12 19:51:48.556756
Score: 0			 Date: 2014-04-12 19:53:56.167141
Score: 0			 Date: 2014-04-12 19:55:17.420202
Score: 0			 Date: 2014-04-12 19:55:47.028487
Score: 0			 Date: 2014-04-12 19:56:08.817510
Score: 0			 Date: 2014-04-12 19:59:31.156203
Score: 0			 Date: 2014-04-12 19:59:55.647322
Score: 0			 Date: 2014-04-12 20:00:32.671983
Score: 0			 Date: 2014-04-12 20:02:43.476250
Score: 0			 Date: 2014-04-12 20:03:03.480164
Score: 0			 Date: 2014-04-12 20:06:30.892668
Score: 0			 Date: 2014-04-12 20:21:51.331626
Score: 0			 Date: 2014-04-12 20:23:01.469737
Score: 0			 Date: 2014-04-12 20:24:31.195522
Score: 0			 Date: 2014-04-12 20:26:24.296572
Score: 0			 Date: 2014-04-12 20:26:32.693322
